match_id,date,optimal_points,optimal_roster
1439902,2025-01-31,782.0,"J Overton, S Mahmood, HH Pandya, Harshit Rana, Ravi Bishnoi, HC Brook, S Dube, BM Duckett, CV Varun, RK Singh, Abhishek Sharma"
875471,2015-07-11,781.0,"AC Evans, Mudassar Bukhari, W Barresi, PL Mommsen, PW Borren, RE van der Merwe, PM Seelaar, SM Sharif, MH Cross, MJG Rippon, MRJ Watt"
1426281,2024-04-27,781.0,"J Fraser-McGurk, Mukesh Kumar, Tilak Varma, Rasikh Salam, T Stubbs, HH Pandya, SD Hope, TH David, KK Ahmed, Abishek Porel, SA Yadav"
1549526,2026-08-31,781.0,"B Evans, BJ Bennett, MG Erasmus, A Busing-Volschenk, RP Burl, ZE Green, BJ Curran, JJ Smit, JN Loftie-Eaton, B Muzarabani, BM Scholtz"
1529279,2026-04-25,781.0,"V Suryavanshi, Ishan Kishan, Abhishek Sharma, Nithish Kumar Reddy, D Ferreira, Dhruv Jurel, JC Archer, Brijesh Sharma, E Malinga, H Klaasen, Sakib Hussain"
1426461,2024-04-13,780.0,"DS Airee, H Rathod, Muhammad Tanveer, Musawar Shah, Kushal Malla, Aasif Sheikh, Gulsan Jha, LN Rajbanshi, Amir Farooq, Mohammad Ahnaff, A Bohara"
1283043,2021-11-02,780.0,"II Selemani, SA Jumbe, FA Cossa, SDJJ Dima, AM Kimote, Jitin Singh, S Thakor, LA Simango, HA Chohan, J Bulele, SF Nhavotso"
1254084,2021-05-01,780.0,"KA Pollard, MM Ali, AT Rayudu, SM Curran, F du Plessis, Q de Kock, RA Jadeja, RG Sharma, KH Pandya, JJ Bumrah, SN Thakur"
1373570,2023-09-03,780.0,"TM Head, SA Abbott, MP Stoinis, AK Markram, D Ferreira, G Coetzee, JP Inglis, RR Hendricks, BC Fortuin, T Stubbs, NT Ellis"
1502166,2025-09-18,780.0,"SC Williams, R Trumpelmann, JN Frylinck, JJ Smit, Sikandar Raza, MG Erasmus, RP Burl, B Muzarabani, TT Maposa, A Busing-Volschenk, WP Masakadza"
1538440,2026-05-31,779.0,"Kushal Malla, K Bhurtel, RK Paudel, S Lamichhane, Shenjian Zheng, Sompal Kami, DS Airee, Deng Jinqi, Ma Qiancheng, NK Yadav, Du Jianhao"
1492891,2025-07-13,779.0,"Musaddiq Ahmed, Shahid Afridi, C Tchale, SY Nihute, A Limdawala, Sami Sohail, Hassan Khan, D Jakiel, Sajid Liaqat, Fayaz Khan, Abdul Bashir"
1405327,2023-11-05,779.0,"Bilal Khan, Gulsan Jha, Aqib Ilyas, KH Prajapati, S Lamichhane, Karan KC, RK Paudel, Zeeshan Maqsood, K Bhurtel, Mohammad Nadeem, B Yadav"
1187020,2019-12-11,778.0,"KA Pollard, KL Rahul, V Kohli, RG Sharma, SO Hetmyer, B Kumar, DL Chahar, Kuldeep Yadav, Mohammed Shami, KOK Williams, SS Cottrell"
1473466,2025-04-13,778.0,"KK Nair, JJ Bumrah, Tilak Varma, KV Sharma, V Nigam, RD Rickelton, Naman Dhir, SA Yadav, Kuldeep Yadav, MJ Santner, Abishek Porel"
1479580,2025-12-19,778.0,"HH Pandya, CV Varun, Tilak Varma, Q de Kock, C Bosch, SV Samson, Abhishek Sharma, JJ Bumrah, OEG Baartman, D Brevis, GF Linde"
1390167,2023-08-05,778.0,"Sheikh Rasik, WK Bitis, A Kheterpal, CG Osborne, SA Mohandas, A Prashar, Abbas Ghani, Sohail Ahmad, Abhishek Ahuja, V Ravindran, Naseem Khan"
1489581,2025-06-12,778.0,"M Taylor, YS Samra, Ansh Patel, K Burrows, DS Bajwa, NR Kirton, JR Barry, A Johnson, DG Weakley, Saad Bin Zafar, Shivam Sharma"
1263160,2021-07-16,777.0,"E Lewis, SS Cottrell, AJ Tye, MR Marsh, AD Russell, HR Walsh, A Zampa, AJ Finch, N Pooran, MJ Swepson, MS Wade"
1457233,2024-11-26,776.0,"Luqman Butt, Rizwan Butt, Haider Butt, Ali Dawood, M Chadha, GC Murtaza, Imran Khan, Umer Imtiaz, Junaid Aziz, Shah Abrar Hussain, Ahmer Bin Nisar"
