player_name,batting_proj,total_runs,batting_strike_rate,bowling_proj,wickets_taken,economy_rate,projected_fantasy_points,role,credits
NJ Browne,57.120000000000005,46.0,135.29411764705884,73.99284,3.0,5.52,131.11284,BOWL,8.5
NJ Carey,65.28,64.0,125.49019607843135,96.27984,4.0,6.352941176470588,161.55984,BOWL,8.5
NM Meepage,1.02,1.0,50.0,51.70584,2.0,5.9375,52.725840000000005,BOWL,8.5
NND de Silva,365.16,358.0,100.0,118.56684000000001,5.0,5.485714285714286,483.72684000000004,BAT,8.5
NR Sciver,402.90000000000003,395.0,103.94736842105264,519.73284,23.0,4.781818181818182,922.63284,AR,8.5
NR Sciver-Brunt,571.2,550.0,133.49514563106797,140.85384000000002,6.0,6.11042944785276,712.05384,BAT,8.5
NSS Sharma,0.0,0.0,0.0,66.861,3.0,7.846153846153847,66.861,BOWL,8.5
NY McLean,65.28,64.0,108.47457627118644,0.0,0.0,0.0,65.28,BAT,8.5
Nahida Akter,39.78,39.0,79.59183673469387,408.29784,18.0,6.795918367346939,448.07784000000004,BOWL,8.5
Nahida Khan,98.94,97.0,78.86178861788618,0.0,0.0,0.0,98.94,BAT,8.5
Nain Abidi,25.5,25.0,51.02040816326531,0.0,0.0,0.0,25.5,BAT,8.5
Nashra Sandhu,27.54,27.0,58.69565217391305,475.15884,21.0,5.706521739130435,502.69884,BOWL,8.5
Natalia Pervaiz,11.22,11.0,61.11111111111112,0.0,0.0,0.0,11.22,BAT,8.5
Nida Dar,301.92,296.0,88.09523809523809,564.30684,25.0,6.273244781783681,866.22684,AR,8.5
Nigar Sultana,594.66,583.0,84.98542274052478,0.0,0.0,0.0,594.66,BAT,8.5
Nuzhat Tasnia,11.22,11.0,40.74074074074074,0.0,0.0,0.0,11.22,BAT,8.5
O Bell,3.06,3.0,37.5,118.56684000000001,5.0,7.215189873417722,121.62684000000002,BOWL,8.5
O Kamchomphu,30.6,30.0,93.75,7.13184,0.0,7.0,37.731840000000005,BAT,8.5
